,Pct Happy,Pct Happy Group A,Pct Happy Group B,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (B),Avg pct similar neighbors (count empty),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B) (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct group B,Intolerance
142,99.1,100.0,96.6,66.2,76.6,39.4,58.1,64.8,38.2,350,262,88,0.25,0.25
143,99.1,100.0,96.6,66.3,76.6,39.6,58.2,64.8,38.5,350,262,88,0.25,0.25
144,99.1,100.0,96.6,66.4,76.7,39.7,58.2,64.8,38.5,350,262,88,0.25,0.25
145,99.1,100.0,96.6,66.4,76.9,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
146,99.1,100.0,96.6,66.4,76.7,39.7,58.2,64.8,38.6,350,262,88,0.25,0.25
147,99.1,100.0,96.6,66.3,76.6,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
148,99.1,100.0,96.6,66.3,76.7,39.4,58.1,64.8,38.1,350,262,88,0.25,0.25
149,99.1,100.0,96.6,66.3,76.7,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
150,99.1,100.0,96.6,66.4,76.6,39.9,58.2,64.8,38.8,350,262,88,0.25,0.25
151,99.1,100.0,96.6,66.3,76.6,39.8,58.2,64.8,38.6,350,262,88,0.25,0.25
152,99.1,100.0,96.6,66.4,76.8,39.6,58.2,64.8,38.5,350,262,88,0.25,0.25
153,99.1,100.0,96.6,66.3,76.6,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
154,99.1,100.0,96.6,66.4,76.7,39.4,58.1,64.8,38.2,350,262,88,0.25,0.25
155,99.1,100.0,96.6,66.3,76.6,39.4,58.1,64.8,38.2,350,262,88,0.25,0.25
156,99.1,100.0,96.6,66.5,76.9,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
157,99.1,100.0,96.6,66.5,76.9,39.8,58.2,64.8,38.5,350,262,88,0.25,0.25
158,99.1,100.0,96.6,66.4,76.7,39.7,58.2,64.8,38.6,350,262,88,0.25,0.25
159,99.1,100.0,96.6,66.3,76.7,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
160,99.1,100.0,96.6,66.3,76.7,39.4,58.1,64.8,38.4,350,262,88,0.25,0.25
161,99.1,100.0,96.6,66.3,76.7,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
162,99.1,100.0,96.6,66.4,76.7,39.4,58.1,64.8,38.1,350,262,88,0.25,0.25
163,99.1,100.0,96.6,66.3,76.5,39.9,58.2,64.8,38.8,350,262,88,0.25,0.25
164,99.1,100.0,96.6,66.2,76.5,39.4,58.1,64.8,38.2,350,262,88,0.25,0.25
165,99.1,100.0,96.6,66.4,76.7,39.6,58.1,64.8,38.4,350,262,88,0.25,0.25
