grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,Run,Grass Growth,Sheep,Wolves,height,width,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,grass
25,3,26,97,400,0,15,20,20,100,50,0.04,0.05,True
25,3,26,98,400,0,7,20,20,100,50,0.04,0.05,True
25,3,26,99,400,0,15,20,20,100,50,0.04,0.05,True
25,4,18,100,362,4,10,20,20,100,50,0.04,0.05,True
25,4,18,101,383,1,9,20,20,100,50,0.04,0.05,True
25,4,18,102,328,7,9,20,20,100,50,0.04,0.05,True
25,4,18,103,394,0,8,20,20,100,50,0.04,0.05,True
25,4,18,104,357,6,6,20,20,100,50,0.04,0.05,True
25,4,18,105,397,0,8,20,20,100,50,0.04,0.05,True
25,4,18,106,393,0,14,20,20,100,50,0.04,0.05,True
25,4,18,107,376,0,7,20,20,100,50,0.04,0.05,True
25,4,18,108,356,2,9,20,20,100,50,0.04,0.05,True
25,4,18,109,368,3,18,20,20,100,50,0.04,0.05,True
25,4,20,110,400,0,7,20,20,100,50,0.04,0.05,True
25,4,20,111,344,5,3,20,20,100,50,0.04,0.05,True
25,4,20,112,383,1,12,20,20,100,50,0.04,0.05,True
25,4,20,113,389,0,17,20,20,100,50,0.04,0.05,True
25,4,20,114,362,3,19,20,20,100,50,0.04,0.05,True
25,4,20,115,400,0,21,20,20,100,50,0.04,0.05,True
25,4,20,116,400,0,15,20,20,100,50,0.04,0.05,True
25,4,20,117,384,0,17,20,20,100,50,0.04,0.05,True
25,4,20,118,369,2,14,20,20,100,50,0.04,0.05,True
25,4,20,119,367,1,17,20,20,100,50,0.04,0.05,True
25,4,22,120,400,0,14,20,20,100,50,0.04,0.05,True
25,4,22,121,350,3,13,20,20,100,50,0.04,0.05,True
25,4,22,122,398,0,17,20,20,100,50,0.04,0.05,True
25,4,22,123,389,0,9,20,20,100,50,0.04,0.05,True
25,4,22,124,368,1,19,20,20,100,50,0.04,0.05,True
25,4,22,125,386,0,17,20,20,100,50,0.04,0.05,True
25,4,22,126,390,0,22,20,20,100,50,0.04,0.05,True
25,4,22,127,380,1,28,20,20,100,50,0.04,0.05,True
25,4,22,128,383,1,12,20,20,100,50,0.04,0.05,True
25,4,22,129,400,0,19,20,20,100,50,0.04,0.05,True
25,4,24,130,399,0,27,20,20,100,50,0.04,0.05,True
25,4,24,131,400,0,9,20,20,100,50,0.04,0.05,True
25,4,24,132,391,0,15,20,20,100,50,0.04,0.05,True
25,4,24,133,399,0,17,20,20,100,50,0.04,0.05,True
25,4,24,134,400,0,19,20,20,100,50,0.04,0.05,True
25,4,24,135,399,0,13,20,20,100,50,0.04,0.05,True
25,4,24,136,384,0,24,20,20,100,50,0.04,0.05,True
25,4,24,137,383,0,23,20,20,100,50,0.04,0.05,True
25,4,24,138,391,0,14,20,20,100,50,0.04,0.05,True
25,4,24,139,376,1,29,20,20,100,50,0.04,0.05,True
25,4,26,140,367,9,31,20,20,100,50,0.04,0.05,True
25,4,26,141,397,0,23,20,20,100,50,0.04,0.05,True
25,4,26,142,388,0,14,20,20,100,50,0.04,0.05,True
25,4,26,143,378,0,35,20,20,100,50,0.04,0.05,True
25,4,26,144,400,0,20,20,20,100,50,0.04,0.05,True
25,4,26,145,372,2,19,20,20,100,50,0.04,0.05,True
25,4,26,146,393,0,22,20,20,100,50,0.04,0.05,True
25,4,26,147,389,0,18,20,20,100,50,0.04,0.05,True
25,4,26,148,375,0,25,20,20,100,50,0.04,0.05,True
25,4,26,149,398,0,24,20,20,100,50,0.04,0.05,True
25,5,18,150,368,3,10,20,20,100,50,0.04,0.05,True
25,5,18,151,400,0,6,20,20,100,50,0.04,0.05,True
25,5,18,152,388,1,10,20,20,100,50,0.04,0.05,True
25,5,18,153,365,3,17,20,20,100,50,0.04,0.05,True
25,5,18,154,379,0,7,20,20,100,50,0.04,0.05,True
25,5,18,155,330,8,10,20,20,100,50,0.04,0.05,True
25,5,18,156,392,0,2,20,20,100,50,0.04,0.05,True
25,5,18,157,398,0,5,20,20,100,50,0.04,0.05,True
25,5,18,158,371,3,17,20,20,100,50,0.04,0.05,True
25,5,18,159,367,1,17,20,20,100,50,0.04,0.05,True
25,5,20,160,377,4,14,20,20,100,50,0.04,0.05,True
25,5,20,161,385,2,20,20,20,100,50,0.04,0.05,True
25,5,20,162,384,3,4,20,20,100,50,0.04,0.05,True
25,5,20,163,391,0,18,20,20,100,50,0.04,0.05,True
25,5,20,164,394,0,14,20,20,100,50,0.04,0.05,True
25,5,20,165,392,0,13,20,20,100,50,0.04,0.05,True
25,5,20,166,366,1,19,20,20,100,50,0.04,0.05,True
25,5,20,167,389,0,14,20,20,100,50,0.04,0.05,True
25,5,20,168,385,0,12,20,20,100,50,0.04,0.05,True
25,5,20,169,394,0,8,20,20,100,50,0.04,0.05,True
25,5,22,170,363,3,34,20,20,100,50,0.04,0.05,True
25,5,22,171,393,0,19,20,20,100,50,0.04,0.05,True
25,5,22,172,352,2,30,20,20,100,50,0.04,0.05,True
25,5,22,173,399,0,23,20,20,100,50,0.04,0.05,True
25,5,22,174,399,0,12,20,20,100,50,0.04,0.05,True
25,5,22,175,386,1,15,20,20,100,50,0.04,0.05,True
25,5,22,176,400,0,26,20,20,100,50,0.04,0.05,True
25,5,22,177,394,0,14,20,20,100,50,0.04,0.05,True
25,5,22,178,398,0,15,20,20,100,50,0.04,0.05,True
25,5,22,179,362,4,29,20,20,100,50,0.04,0.05,True
25,5,24,180,399,0,32,20,20,100,50,0.04,0.05,True
25,5,24,181,360,1,26,20,20,100,50,0.04,0.05,True
25,5,24,182,363,1,27,20,20,100,50,0.04,0.05,True
25,5,24,183,337,1,32,20,20,100,50,0.04,0.05,True
25,5,24,184,398,0,40,20,20,100,50,0.04,0.05,True
25,5,24,185,398,0,24,20,20,100,50,0.04,0.05,True
25,5,24,186,357,1,27,20,20,100,50,0.04,0.05,True
25,5,24,187,382,0,48,20,20,100,50,0.04,0.05,True
25,5,24,188,387,0,29,20,20,100,50,0.04,0.05,True
25,5,24,189,390,0,22,20,20,100,50,0.04,0.05,True
25,5,26,190,400,0,18,20,20,100,50,0.04,0.05,True
25,5,26,191,372,1,38,20,20,100,50,0.04,0.05,True
25,5,26,192,400,0,29,20,20,100,50,0.04,0.05,True
25,5,26,193,380,0,32,20,20,100,50,0.04,0.05,True
25,5,26,194,344,1,31,20,20,100,50,0.04,0.05,True
25,5,26,195,382,0,39,20,20,100,50,0.04,0.05,True
25,5,26,196,391,0,30,20,20,100,50,0.04,0.05,True
25,5,26,197,392,0,36,20,20,100,50,0.04,0.05,True
25,5,26,198,389,0,18,20,20,100,50,0.04,0.05,True
