grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,Run,Grass Growth,Sheep,Wolves,height,width,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,grass
25,3,26,97,400,0,33,20,20,100,50,0.04,0.05,True
25,3,26,98,391,0,18,20,20,100,50,0.04,0.05,True
25,3,26,99,400,0,7,20,20,100,50,0.04,0.05,True
25,4,18,100,323,7,7,20,20,100,50,0.04,0.05,True
25,4,18,101,387,1,7,20,20,100,50,0.04,0.05,True
25,4,18,102,349,3,7,20,20,100,50,0.04,0.05,True
25,4,18,103,379,3,7,20,20,100,50,0.04,0.05,True
25,4,18,104,389,0,8,20,20,100,50,0.04,0.05,True
25,4,18,105,399,0,3,20,20,100,50,0.04,0.05,True
25,4,18,106,394,0,16,20,20,100,50,0.04,0.05,True
25,4,18,107,376,1,10,20,20,100,50,0.04,0.05,True
25,4,18,108,370,2,14,20,20,100,50,0.04,0.05,True
25,4,18,109,360,7,8,20,20,100,50,0.04,0.05,True
25,4,20,110,395,0,11,20,20,100,50,0.04,0.05,True
25,4,20,111,376,3,11,20,20,100,50,0.04,0.05,True
25,4,20,112,400,0,10,20,20,100,50,0.04,0.05,True
25,4,20,113,399,0,13,20,20,100,50,0.04,0.05,True
25,4,20,114,400,0,13,20,20,100,50,0.04,0.05,True
25,4,20,115,386,4,10,20,20,100,50,0.04,0.05,True
25,4,20,116,369,3,18,20,20,100,50,0.04,0.05,True
25,4,20,117,380,0,11,20,20,100,50,0.04,0.05,True
25,4,20,118,366,2,15,20,20,100,50,0.04,0.05,True
25,4,20,119,349,2,8,20,20,100,50,0.04,0.05,True
25,4,22,120,400,0,14,20,20,100,50,0.04,0.05,True
25,4,22,121,358,2,19,20,20,100,50,0.04,0.05,True
25,4,22,122,377,0,22,20,20,100,50,0.04,0.05,True
25,4,22,123,396,0,9,20,20,100,50,0.04,0.05,True
25,4,22,124,399,0,19,20,20,100,50,0.04,0.05,True
25,4,22,125,399,0,3,20,20,100,50,0.04,0.05,True
25,4,22,126,397,0,14,20,20,100,50,0.04,0.05,True
25,4,22,127,400,0,9,20,20,100,50,0.04,0.05,True
25,4,22,128,387,0,21,20,20,100,50,0.04,0.05,True
25,4,22,129,388,0,25,20,20,100,50,0.04,0.05,True
25,4,24,130,397,0,21,20,20,100,50,0.04,0.05,True
25,4,24,131,387,0,33,20,20,100,50,0.04,0.05,True
25,4,24,132,384,1,19,20,20,100,50,0.04,0.05,True
25,4,24,133,395,0,13,20,20,100,50,0.04,0.05,True
25,4,24,134,389,0,29,20,20,100,50,0.04,0.05,True
25,4,24,135,373,1,30,20,20,100,50,0.04,0.05,True
25,4,24,136,400,0,17,20,20,100,50,0.04,0.05,True
25,4,24,137,396,0,12,20,20,100,50,0.04,0.05,True
25,4,24,138,373,2,25,20,20,100,50,0.04,0.05,True
25,4,24,139,362,5,15,20,20,100,50,0.04,0.05,True
25,4,26,140,392,0,26,20,20,100,50,0.04,0.05,True
25,4,26,141,360,2,20,20,20,100,50,0.04,0.05,True
25,4,26,142,400,0,19,20,20,100,50,0.04,0.05,True
25,4,26,143,392,0,28,20,20,100,50,0.04,0.05,True
25,4,26,144,400,0,19,20,20,100,50,0.04,0.05,True
25,4,26,145,400,0,27,20,20,100,50,0.04,0.05,True
25,4,26,146,400,0,20,20,20,100,50,0.04,0.05,True
25,4,26,147,396,0,30,20,20,100,50,0.04,0.05,True
25,4,26,148,399,0,18,20,20,100,50,0.04,0.05,True
25,4,26,149,396,0,15,20,20,100,50,0.04,0.05,True
25,5,18,150,324,8,14,20,20,100,50,0.04,0.05,True
25,5,18,151,321,8,13,20,20,100,50,0.04,0.05,True
25,5,18,152,360,4,6,20,20,100,50,0.04,0.05,True
25,5,18,153,349,3,14,20,20,100,50,0.04,0.05,True
25,5,18,154,368,4,8,20,20,100,50,0.04,0.05,True
25,5,18,155,352,1,16,20,20,100,50,0.04,0.05,True
25,5,18,156,347,10,13,20,20,100,50,0.04,0.05,True
25,5,18,157,335,12,11,20,20,100,50,0.04,0.05,True
25,5,18,158,400,0,5,20,20,100,50,0.04,0.05,True
25,5,18,159,357,4,24,20,20,100,50,0.04,0.05,True
25,5,20,160,400,0,16,20,20,100,50,0.04,0.05,True
25,5,20,161,382,0,12,20,20,100,50,0.04,0.05,True
25,5,20,162,395,0,13,20,20,100,50,0.04,0.05,True
25,5,20,163,392,0,24,20,20,100,50,0.04,0.05,True
25,5,20,164,400,0,7,20,20,100,50,0.04,0.05,True
25,5,20,165,396,0,19,20,20,100,50,0.04,0.05,True
25,5,20,166,346,6,28,20,20,100,50,0.04,0.05,True
25,5,20,167,360,3,23,20,20,100,50,0.04,0.05,True
25,5,20,168,393,0,25,20,20,100,50,0.04,0.05,True
25,5,20,169,395,0,15,20,20,100,50,0.04,0.05,True
25,5,22,170,356,1,31,20,20,100,50,0.04,0.05,True
25,5,22,171,376,1,11,20,20,100,50,0.04,0.05,True
25,5,22,172,400,0,28,20,20,100,50,0.04,0.05,True
